STT,DANH MỤC LỚN,HẠNG MỤC CHI PHÍ CHI TIẾT,ĐƠN VỊ TÍNH,SỐ LƯỢNG,ĐƠN GIÁ THÁNG (VNĐ),THÀNH TIỀN THÁNG (VNĐ),THÀNH TIỀN NĂM 2027 (VNĐ),GHI CHÚ & CĂN CỨ TÍNH TOÁN
2.5,2. Nhân sự,"Chi phí thuê chuyên gia tư vấn dài hạn (logistics, đo lường CO₂, VRP) nếu có",Tháng,1,4000000,4000000,48000000,Thù lao cố vấn chuyên môn giải thuật VRP và phương pháp kiểm kê phát thải CO₂
2.6,2. Nhân sự,"Bảo hiểm xã hội, phúc lợi nhân viên (nếu tuyển chính thức)",Tháng,1,6500000,6500000,78000000,"Đóng BHXH, BHYT, BHTN theo quy định cho đội ngũ nhân sự cơ hữu"
T2,2. Nhân sự,TỔNG NHÓM 2: NHÂN SỰ,,,,65500000,786000000,
3.1,3. Vận hành pilot/khách hàng,Chi phí hỗ trợ kỹ thuật onsite/online cho DN thử nghiệm,Tháng,1,2500000,2500000,30000000,"Xăng xe, phụ cấp công tác trực tiếp tại các bưu cục thử nghiệm (2-4 bưu cục)"
3.2,3. Vận hành pilot/khách hàng,"Chi phí đào tạo, hướng dẫn sử dụng cho DN và tài xế",Tháng,1,1500000,1500000,18000000,"In ấn tài liệu hướng dẫn nhanh, tổ chức các buổi đào tạo thực địa cho tài xế"
3.3,3. Vận hành pilot/khách hàng,"Chi phí thu thập, làm sạch, hiệu chỉnh dữ liệu thực tế",Tháng,1,2000000,2000000,24000000,Xử lý chuẩn hóa địa chỉ đơn hàng và hiệu chỉnh thông số tiêu hao nhiên liệu xe
3.4,3. Vận hành pilot/khách hàng,"Chi phí chương trình dùng thử miễn phí (coi là chi phí ""customer acquisition"") ",Tháng,1,3000000,3000000,36000000,Chi phí hỗ trợ/trợ giá dùng thử trong 4-6 tuần đầu để thu thập dữ liệu pilot
T3,3. Vận hành pilot/khách hàng,TỔNG NHÓM 3: VẬN HÀNH PILOT / KHÁCH HÀNG,,,,9000000,108000000,
4.1,4. Marketing & bán hàng,"Quảng cáo online (Facebook, LinkedIn, Google Ads)",Tháng,1,4000000,4000000,48000000,Chạy chiến dịch digital marketing nhắm vào nhóm quản lý chuỗi cung ứng/logistics
4.2,4. Marketing & bán hàng,"Chi phí tham gia hội thảo, triển lãm logistics/ESG",Tháng (phân bổ),1,2500000,2500000,30000000,"Phân bổ chi phí tham dự các diễn đàn logistics xanh, triển lãm VLA, Green Expo"
4.3,4. Marketing & bán hàng,"Chi phí sản xuất nội dung truyền thông (video, bài viết, case study)",Tháng,1,2500000,2500000,30000000,"Sản xuất video giới thiệu tính năng, bài viết case study chứng minh hiệu quả tiết kiệm"
4.4,4. Marketing & bán hàng,Chi phí quà tặng/khuyến mãi cho khách hàng pilot,Tháng,1,1200000,1200000,14400000,"Quà lưu niệm, tài trợ vật phẩm cho các bưu cục và tài xế tham gia pilot"
T4,4. Marketing & bán hàng,TỔNG NHÓM 4: MARKETING & BÁN HÀNG,,,,10200000,122400000,
5.1,5. Chi phí văn phòng & hành chính,"Thuê văn phòng (nếu có), điện, nước, internet",Tháng,1,6000000,6000000,72000000,Thuê không gian làm việc Co-working Space / Vườn ươm khởi nghiệp
5.2,5. Chi phí văn phòng & hành chính,"Công cụ làm việc: Google Workspace, Slack, Zoom, phần mềm quản lý dự án",Tháng,1,1500000,1500000,18000000,"Bản quyền Google Workspace Business, Slack Pro, Notion, Jira cho 5-8 tài khoản"
5.3,5. Chi phí văn phòng & hành chính,Văn phòng phẩm,Tháng,1,600000,600000,7200000,"Giấy in, bút, vật dụng văn phòng thiết yếu"
T5,5. Chi phí văn phòng & hành chính,TỔNG NHÓM 5: VĂN PHÒNG & HÀNH CHÍNH,,,,8100000,97200000,
6.1,6. Chi phí tài chính & pháp lý định kỳ,"Kế toán, kiểm toán",Tháng,1,1800000,1800000,21600000,Thuê dịch vụ kế toán thuế và lập báo cáo tài chính trọn gói cho doanh nghiệp SME
6.2,6. Chi phí tài chính & pháp lý định kỳ,Thuế,Tháng (phân bổ),1,300000,300000,3600000,Lệ phí môn bài và các khoản phí hành chính nhà nước định kỳ
6.3,6. Chi phí tài chính & pháp lý định kỳ,"Gia hạn giấy phép, hợp đồng đối tác dữ liệu (hàng năm)",Tháng (phân bổ),1,800000,800000,9600000,Phân bổ phí gia hạn bản quyền dữ liệu và giấy phép liên quan
T6,6. Chi phí tài chính & pháp lý định kỳ,TỔNG NHÓM 6: TÀI CHÍNH & PHÁP LÝ ĐỊNH KỲ,,,,2900000,34800000,
7.1,7. Chi phí đo lường & báo cáo,Công cụ/phần mềm đo lường CO₂ (nếu thuê ngoài thay vì tự xây),Tháng,1,1500000,1500000,18000000,Cập nhật hệ số phát thải (Emission Factors) chuẩn quốc tế GLEC/IPCC từ cơ sở dữ liệu
7.2,7. Chi phí đo lường & báo cáo,Chi phí lập báo cáo ESG định kỳ cho khách hàng,Tháng,1,2000000,2000000,24000000,Xuất báo cáo định lượng CO₂ tiết giảm và chứng nhận phát thải xanh cho khách hàng B2B
T7,7. Chi phí đo lường & báo cáo,TỔNG NHÓM 7: ĐO LƯỜNG & BÁO CÁO,,,,3500000,42000000,
8.1,8. Dự phòng rủi ro,Quỹ dự phòng phát sinh (10% tổng OPEX),Tháng,1,11320000,11320000,135840000,Trích lập 10% trên tổng chi phí vận hành hàng tháng để dự phòng biến động thị trường & chi phí đột xuất
T8,8. Dự phòng rủi ro,TỔNG NHÓM 8: DỰ PHÒNG RỦI RO (10%),,,,11320000,135840000,
TOTAL,TỔNG CHI PHÍ VẬN HÀNH (OPEX),TỔNG OPEX VẬN HÀNH ĐỊNH KỲ (BAO GỒM 10% DỰ PHÒNG),,,,124520000,1494240000,TỔNG CỘNG 8 NHÓM OPEX
