STT,DANH MỤC LỚN,HẠNG MỤC CHI PHÍ CHI TIẾT,ĐƠN VỊ TÍNH,SỐ LƯỢNG,ĐƠN GIÁ (VNĐ),THÀNH TIỀN (VNĐ),GHI CHÚ & CĂN CỨ TÍNH TOÁN
3.10,3. Pháp lý & hành chính,Lệ phí nộp nhà nước đăng ký độc quyền thương hiệu,Hồ sơ,1,1000000,1000000,"Lệ phí nộp đơn (150k), công bố (120k), tra cứu (180k), thẩm định (550k)"
3.11,3. Pháp lý & hành chính,Tư vấn pháp lý ban đầu,Gói tư vấn,1,1990000,1990000,"Tư vấn Điều khoản sử dụng (Terms of Service), Chính sách bảo mật (Privacy Policy) cho SaaS"
T3,3. Pháp lý & hành chính,TỔNG NHÓM 3: PHÁP LÝ & HÀNH CHÍNH,,,,21858000,
4.1,4. Thiết bị & tài sản cố định,"Laptop, thiết bị làm việc cho đội ngũ",Bộ thiết bị,2,12500000,25000000,2 Laptop chuyên dụng dev/test phục vụ build môi trường và phân tích dữ liệu
4.2,4. Thiết bị & tài sản cố định,Thiết bị demo (nếu cần trình diễn cho khách hàng pilot),Chiếc,2,4000000,8000000,2 Smartphone/Tablet cấu hình chuẩn test app tài xế onsite tại bưu cục pilot
T4,4. Thiết bị & tài sản cố định,TỔNG NHÓM 4: THIẾT BỊ & TÀI SẢN CỐ ĐỊNH,,,,33000000,
5.1,5. Nghiên cứu & phát triển ban đầu,"Chi phí khảo sát thị trường, phỏng vấn doanh nghiệp (trước khi build)",Đợt khảo sát,1,5000000,5000000,"Chi phí đi lại, khảo sát thực tế và phỏng vấn 15-20 chủ bưu cục/quản lý vận tải TP.HCM"
5.2,5. Nghiên cứu & phát triển ban đầu,Chi phí thuê chuyên gia tư vấn thiết kế hệ thống (one-time),Hợp đồng tư vấn,1,10000000,10000000,Tư vấn từ chuyên gia Logistics VLA và chuyên gia giải thuật VRP
T5,5. Nghiên cứu & phát triển ban đầu,TỔNG NHÓM 5: NGHIÊN CỨU & PHÁT TRIỂN BAN ĐẦU,,,,15000000,
TOTAL,TỔNG VỐN ĐẦU TƯ BAN ĐẦU (CAPEX),TỔNG CHI PHÍ ĐẦU TƯ BAN ĐẦU 1 LẦN (NĂM 0 / 2026),,,,196858000,TỔNG CỘNG 5 NHÓM CAPEX
