STT,DANH MỤC LỚN,HẠNG MỤC CHI PHÍ CHI TIẾT,ĐƠN VỊ TÍNH,SỐ LƯỢNG,ĐƠN GIÁ THÁNG (VNĐ),THÀNH TIỀN THÁNG (VNĐ),THÀNH TIỀN NĂM 2027 (VNĐ),CĂN CỨ ĐỊNH MỨC & DỮ LIỆU THỰC TẾ 08/2026
3.4,3. Vận hành pilot/khách hàng,"Chi phí chương trình dùng thử miễn phí (coi là chi phí ""customer acquisition"") ",Tháng,1,3000000,3000000,36000000,Hỗ trợ/trợ giá dùng thử trong 4-6 tuần pilot để thu thập dữ liệu hiệu chỉnh thuật toán
T3,3. Vận hành pilot/khách hàng,TỔNG NHÓM 3: VẬN HÀNH PILOT / KHÁCH HÀNG,,,,9000000,108000000,
4.1,4. Marketing & bán hàng,"Quảng cáo online (Facebook, LinkedIn, Google Ads)",Tháng,1,4000000,4000000,48000000,"Digital Marketing B2B nhắm mục tiêu Quản lý chuỗi cung ứng, Chủ bưu cục, Trưởng kho"
4.2,4. Marketing & bán hàng,"Chi phí tham gia hội thảo, triển lãm logistics/ESG",Tháng (phân bổ),1,2500000,2500000,30000000,"Phân bổ chi phí tham dự các diễn đàn Logistics Xanh, Vietnam Logistics Forum, Green Growth Expo"
4.3,4. Marketing & bán hàng,"Chi phí sản xuất nội dung truyền thông (video, bài viết, case study)",Tháng,1,2500000,2500000,30000000,"Video hướng dẫn, bài viết phân tích Case Study chứng minh % giảm quãng đường & CO2"
4.4,4. Marketing & bán hàng,Chi phí quà tặng/khuyến mãi cho khách hàng pilot,Tháng,1,1200000,1200000,14400000,"Quà lưu niệm, tài trợ vật phẩm cho các bưu cục và tài xế hoàn thành xuất sắc pilot"
T4,4. Marketing & bán hàng,TỔNG NHÓM 4: MARKETING & BÁN HÀNG,,,,10200000,122400000,
5.1,5. Chi phí văn phòng & hành chính,"Thuê văn phòng (nếu có), điện, nước, internet",Tháng,1,6000000,6000000,72000000,Không gian làm việc Co-working Space / Vườn ươm khởi nghiệp ĐHQG / UEH Hub
5.2,5. Chi phí văn phòng & hành chính,"Công cụ làm việc: Google Workspace, Slack, Zoom, phần mềm quản lý dự án",Tháng,1,1500000,1500000,18000000,"Bản quyền Google Workspace Business, Slack Pro, Notion, Jira cho 5-8 tài khoản"
5.3,5. Chi phí văn phòng & hành chính,Văn phòng phẩm,Tháng,1,600000,600000,7200000,"Giấy in, sổ sách, vật dụng văn phòng thiết yếu"
T5,5. Chi phí văn phòng & hành chính,TỔNG NHÓM 5: VĂN PHÒNG & HÀNH CHÍNH,,,,8100000,97200000,
6.1,6. Chi phí tài chính & pháp lý định kỳ,"Kế toán, kiểm toán",Tháng,1,1800000,1800000,21600000,Dịch vụ kế toán thuế và lập báo cáo tài chính trọn gói cho doanh nghiệp SME
6.2,6. Chi phí tài chính & pháp lý định kỳ,Thuế (Lệ phí môn bài phân bổ từ năm 2),Tháng (phân bổ),1,167000,167000,2004000,"Lệ phí môn bài bậc 2 triệu/năm (miễn năm đầu 2026 theo NĐ 22/2020, đóng từ 2027)"
6.3,6. Chi phí tài chính & pháp lý định kỳ,"Gia hạn giấy phép, hợp đồng đối tác dữ liệu (hàng năm)",Tháng (phân bổ),1,800000,800000,9600000,"Phân bổ phí duy trì tên miền, bảo mật, gia hạn dịch vụ số"
T6,6. Chi phí tài chính & pháp lý định kỳ,TỔNG NHÓM 6: TÀI CHÍNH & PHÁP LÝ ĐỊNH KỲ,,,,2767000,33204000,
7.1,7. Chi phí đo lường & báo cáo,Công cụ/phần mềm đo lường CO₂ (nếu thuê ngoài thay vì tự xây),Tháng,1,1500000,1500000,18000000,Cập nhật bộ hệ số phát thải (Emission Factors) chuẩn quốc tế GLEC v3.0 / IPCC
7.2,7. Chi phí đo lường & báo cáo,Chi phí lập báo cáo ESG định kỳ cho khách hàng,Tháng,1,2000000,2000000,24000000,Xuất chứng nhận & báo cáo định lượng CO2 tiết giảm định kỳ phục vụ kiểm toán xanh
T7,7. Chi phí đo lường & báo cáo,TỔNG NHÓM 7: ĐO LƯỜNG & BÁO CÁO,,,,3500000,42000000,
8.1,8. Dự phòng rủi ro,Quỹ dự phòng phát sinh (10% tổng OPEX),Tháng,1,11301700,11301700,135620400,Trích lập 10% trên tổng chi phí vận hành hàng tháng để dự phòng biến động thị trường
T8,8. Dự phòng rủi ro,TỔNG NHÓM 8: DỰ PHÒNG RỦI RO (10%),,,,11301700,135620400,
TOTAL,TỔNG CHI PHÍ VẬN HÀNH (OPEX),TỔNG OPEX VẬN HÀNH ĐỊNH KỲ (BAO GỒM 10% DỰ PHÒNG),,,,124318700,1491824400,TỔNG CỘNG 8 NHÓM OPEX (Đã xác minh chuẩn thị trường 08/2026)
